product_name,tags,starting_price,pricing_details,free_version,free_trial/free_demo,deployment,training,support,Category_Features,Category_Features_List,product_id,starting_price_method,starting_price_num,starting_price_method_fill,starting_price_num_fill
CareRecord,,Not provided by vendor,,,Yes,"Cloud,SaaS,Web","Documentation,Webinars,LiveOnline,InPerson","Online,BusinessHours,24/7(LiveRep)","Electronic Medical Records Features, Electronic Data Capture Features, Hospital Management Features, Medical Billing Features, Medical Practice Management Features, Patient Management Features","{'Appointment Scheduling': 'able', 'Charting': 'able', 'Compliance Tracking': 'able', 'E-Prescribing': 'able', 'Handwriting Recognition': 'disabled', 'Meaningful Use Certified': 'able', 'ONC-ATCB Certified': 'able', 'Self Service Portal': 'able', 'Voice Recognition': 'able'},{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'},{'Accounting Integration': 'disabled', 'Appointment Scheduling': 'able', 'Bed Management': 'disabled', 'Claims Management': 'able', 'In-Patient Management': 'disabled', 'Inventory Management': 'disabled', 'Medical Billing': 'able', 'Out-Patient Management': 'disabled', 'Patient Records Management': 'able', 'Physician Management': 'able', 'Policy Management': 'disabled'},{'Claims Management': 'able', 'Code & Charge Entry': 'able', 'Compliance Tracking': 'able', 'Customizable Dashboard': 'disabled', 'Dunning Management': 'disabled', 'Invoice History': 'able', 'Patient Eligibility Checks': 'able', 'Payment Processing': 'able', 'Practice Management': 'able', 'Quotes/Estimates': 'disabled', 'Remittance Advice': 'able'},{'Claims Management': 'able', 'E-Prescribing ': 'able', 'EMR / EHR': 'able', 'HIPAA Compliant': 'able', 'Insurance Eligibility Verification': 'able', 'Inventory Management': 'disabled', 'Multi-Office': 'able', 'Multi-Physician': 'able', 'Patient Billing': 'able', 'Patient Portal': 'able', 'Patient Records': 'able', 'Patient Registration': 'able', 'Patient Scheduling': 'able', 'Physician Scheduling': 'able'},{'Admissions Management': 'able', 'Bed Management': 'able', 'Discharge Management': 'able', 'Historical Reporting': 'able', 'Patient Flow Management': 'able', 'Patient Location Tracking': 'able', 'Patient Monitoring': 'able', 'Real Time Reporting': 'able', 'Waiting Time Tracking': 'disabled'}",38,Not provided by vendor,inf,year/user,11810.27
Timaeus,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'disabled', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'able', 'Study Management': 'disabled'}",39,Not provided by vendor,inf,one-time/user,372.23
AcqKnowledge,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'disabled', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",40,Not provided by vendor,inf,month/user,75.02
ActiView software,,,,,,,,,Electronic Data Capture Features,{},41,Not provided by vendor,inf,year/user,8693.01
agCapture,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",42,Not provided by vendor,inf,year/user,752.9
ALPHADAS,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'able', 'Study Management': 'able'}",43,Not provided by vendor,inf,month,69.45
Appliance,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'disabled', 'Data Verification': 'disabled', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'able', 'Study Management': 'disabled'}",44,Not provided by vendor,inf,month,342.64
AQ2 Remittance,,,,,,,,,"Payment Processing Features, Accounts Receivable Features, Electronic Data Capture Features","{'ACH Check Transactions': 'able', 'Bitcoin Compatible': 'disabled', 'Debit Card Support': 'disabled', 'Gift Card Management': 'disabled', 'Mobile Payments': 'disabled', 'Online Payments': 'disabled', 'POS Transactions': 'disabled', 'Receipt Printing': 'disabled', 'Recurring Billing': 'disabled', 'Signature Capture': 'disabled'},{'ACH Payment Processing': 'able', 'Check Processing': 'able', 'Collections Management': 'disabled', 'Invoice Processing': 'disabled', 'Online Payment Processing': 'able', 'Overpayment Processing': 'disabled', 'Partial Payments': 'disabled', 'Receipt Management': 'disabled', 'Recurring Billing': 'disabled'},{'Audit Trail': 'able', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'disabled', 'Remote Capture': 'able', 'Study Management': 'disabled'}",45,Not provided by vendor,inf,month,757.44
Ascerteon,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'disabled', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",46,Not provided by vendor,inf,month/user,47.34
BioClinica Express,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'disabled', 'Data Verification': 'disabled', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'disabled', 'Study Management': 'able'}",47,Not provided by vendor,inf,one-time,10165.23
BSCAN Capture,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'disabled', 'Data Verification': 'disabled', 'Distributed Capture': 'disabled', 'Document Imaging': 'able', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",48,Not provided by vendor,inf,year,506.71
Captricity,,Not provided by vendor,,Yes,,"Cloud,SaaS,Web","Documentation,Webinars,LiveOnline,InPerson","Online,BusinessHours","Forms Automation Features, Electronic Data Capture Features","{'Approval Process Control': 'able', 'Archiving & Retention': 'able', 'Collaboration': 'able', 'Document Indexing': 'able', 'Drag & Drop': 'able', 'Full Text Search': 'able', 'Remote Document Access': 'able', 'Rules-Based Workflow': 'able', 'Text Editing': 'able', 'Version Control': 'able'},{'Audit Trail': 'able', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",49,Not provided by vendor,inf,one-time/user,177.0
Clear Clinica,,"$1,500.00/month",,,Yes,"Cloud,SaaS,Web",LiveOnline,Online,Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",50,month,1500.0,month,1500.0
clincase,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'}",51,Not provided by vendor,inf,month/user,27.4
ClinicalAnalytics,,Not provided by vendor,Contact vendor for pricing details.,,,"Cloud,SaaS,Web",,,"Clinical Trial Management Features, Electronic Data Capture Features","{'21 CFR Part 11 Compliance': 'disabled', 'Document Management': 'able', 'Electronic Data Capture': 'able', 'Enrollment Management': 'disabled', 'HIPAA Compliant': 'disabled', 'Monitoring': 'disabled', 'Patient Database': 'disabled', 'Recruiting Management': 'disabled', 'Scheduling': 'disabled', 'Study Planning': 'disabled'},{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",52,Not provided by vendor,inf,year/user,8251.96
DADOS,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",53,Not provided by vendor,inf,one-time/user,26.82
Data Scan,,Not provided by vendor,Contact EXATECH Group for pricing details.,,,"Cloud,SaaS,Web",,,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'disabled', 'Data Verification': 'disabled', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'}",54,Not provided by vendor,inf,one-time,18653.12
Data-Scan,,,,,,,,,"Data Entry Features, Electronic Data Capture Features","{},{}",55,Not provided by vendor,inf,month/user,20.75
DDi-mEDC,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'able', 'Forms Management': 'disabled', 'Remote Capture': 'able', 'Study Management': 'able'}",56,Not provided by vendor,inf,month,899.32
DealMatrix,,,,,,,,,Electronic Data Capture Features,{},57,Not provided by vendor,inf,one-time,12249.95
Digitalis Clinical Data Collection,,"$3,600.00/one-time","Access to design tools: 2000eur/year
and/or
Delegate design: on estimate.",,Yes,"Cloud,SaaS,Web",InPerson,BusinessHours,Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'}",58,one-time,3600.0,one-time,3600.0
Docsumo,,$25.00/month,Pricing is based on number of documents processed.,,,"Cloud,SaaS,Web","Documentation,LiveOnline","Online,BusinessHours,24/7(LiveRep)","Data Extraction Features, Data Entry Features, Electronic Data Capture Features","{'Disparate Data Collection': 'able', 'Document Extraction': 'able', 'Email Address Extraction': 'able', 'Image Extraction': 'able', 'IP Address Extraction': 'disabled', 'Phone Number Extraction': 'able', 'Pricing Extraction': 'disabled', 'Web Data Extraction': 'disabled'},{'Abbreviation Detection': 'disabled', 'Data Capture and Transfer': 'able', 'Data Duplication': 'disabled', 'Data Entry Verification': 'able', 'Data Retrieval': 'disabled', 'Image Capture': 'able', 'Mis-Keyed Variation Detection': 'able', 'Phonetic Variation Detection': 'disabled'},{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'disabled', 'Document Indexing': 'able', 'Forms Management': 'disabled', 'Remote Capture': 'able', 'Study Management': 'disabled'}",59,month,25.0,month,25.0
EDC Made Easy,,Not provided by vendor,,,Yes,"Cloud,SaaS,Web,Installed-Mac,Installed-Windows","Documentation,Webinars,LiveOnline,InPerson","Online,BusinessHours,24/7(LiveRep)",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'disabled', 'Study Management': 'able'}",60,Not provided by vendor,inf,year,36.04
Entrypoint i4,,Not provided by vendor,,,,"Cloud,SaaS,Web",Documentation,"Online,BusinessHours,24/7(LiveRep)","Clinical Trial Management Features, Data Entry Features, Electronic Data Capture Features","{'21 CFR Part 11 Compliance': 'able', 'Document Management': 'able', 'Electronic Data Capture': 'able', 'Enrollment Management': 'disabled', 'HIPAA Compliant': 'disabled', 'Monitoring': 'disabled', 'Patient Database': 'disabled', 'Recruiting Management': 'disabled', 'Scheduling': 'disabled', 'Study Planning': 'disabled'},{'Abbreviation Detection': 'able', 'Data Capture and Transfer': 'able', 'Data Duplication': 'able', 'Data Entry Verification': 'able', 'Data Retrieval': 'able', 'Image Capture': 'able', 'Mis-Keyed Variation Detection': 'able', 'Phonetic Variation Detection': 'disabled'},{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",61,Not provided by vendor,inf,one-time/user,518.46
eplansoft REVIEW,,Not provided by vendor,Please contact e-PlanSoft for pricing details.,,,Installed-Windows,,,"Construction Management Features, Architecture Features, Collaboration Features, Electronic Data Capture Features, Inspection Features","{'Accounting Integration': 'disabled', 'Budget Tracking/Job Costing': 'disabled', 'Change Orders': 'disabled', 'Commercial': 'able', 'Contract Management': 'disabled', 'Contractors': 'disabled', 'CRM': 'disabled', 'Equipment Tracking': 'disabled', 'Estimating': 'disabled', 'Incident Reporting': 'disabled', 'Mobile Access': 'able', 'Offline Access': 'disabled', 'Residential': 'able', 'RFI & Submittals': 'disabled', 'Subcontractor Management': 'disabled'},{},{'Brainstorming': 'disabled', 'Calendar Management': 'disabled', 'Contact Management': 'disabled', 'Content Management': 'disabled', 'Discussion Boards': 'disabled', 'Document Management': 'able', 'Project Management': 'able', 'Real Time Editing': 'disabled', 'Task Management': 'disabled', 'Version Control': 'able', 'Video Conferencing': 'disabled'},{},{}",62,Not provided by vendor,inf,year/user,14667.24
eResearch,,,,,,,,,"Clinical Trial Management Features, Electronic Data Capture Features","{'21 CFR Part 11 Compliance': 'able', 'Document Management': 'disabled', 'Electronic Data Capture': 'able', 'Enrollment Management': 'disabled', 'HIPAA Compliant': 'able', 'Monitoring': 'disabled', 'Patient Database': 'able', 'Recruiting Management': 'disabled', 'Scheduling': 'disabled', 'Study Planning': 'disabled'},{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",63,Not provided by vendor,inf,month/user,74.19
FileStore EDM,,Not provided by vendor,,Yes,,"Cloud,SaaS,Web,Installed-Windows,Mobile-AndroidNative","Documentation,Webinars,LiveOnline,InPerson",BusinessHours,"Document Management Features, Electronic Data Capture Features","{'Collaboration Tools': 'able', 'Compliance Tracking': 'able', 'Document Archiving': 'able', 'Document Assembly': 'able', 'Document Indexing': 'able', 'Document Retention': 'able', 'Electronic Signature': 'able', 'File Recovery': 'able', 'File Type Conversion': 'able', 'Offline Access': 'able', 'Optical Character Recognition': 'able', 'Version Control': 'able'},{}",64,Not provided by vendor,inf,one-time,1240.84
FormFoundry,,,,,,,,,"Workflow Management Features, Application Development Features, Electronic Data Capture Features, Forms Automation Features","{'Access Controls/Permissions': 'disabled', 'Business Process Automation': 'disabled', 'Calendar Management': 'disabled', 'Compliance Tracking': 'disabled', 'Customizable Dashboard': 'disabled', 'Document Management': 'disabled', 'Forms Management': 'able', 'Graphical Workflow Editor': 'disabled', 'Mobile Access': 'disabled', 'Task Management': 'disabled', 'Third Party Integrations': 'disabled', 'Workflow Configuration': 'disabled'},{},{},{'Approval Process Control': 'disabled', 'Archiving & Retention': 'disabled', 'Collaboration': 'disabled', 'Document Indexing': 'disabled', 'Drag & Drop': 'able', 'Full Text Search': 'disabled', 'Remote Document Access': 'able', 'Rules-Based Workflow': 'able', 'Text Editing': 'disabled', 'Version Control': 'disabled'}",65,Not provided by vendor,inf,year/user,6855.32
Fusion eClinical Suite,,Not provided by vendor,,,,"Cloud,SaaS,Web","Documentation,Webinars,LiveOnline,InPerson","Online,BusinessHours,24/7(LiveRep)","Clinical Trial Management Features, Electronic Data Capture Features","{'21 CFR Part 11 Compliance': 'able', 'Document Management': 'able', 'Electronic Data Capture': 'able', 'Enrollment Management': 'disabled', 'HIPAA Compliant': 'able', 'Monitoring': 'able', 'Patient Database': 'able', 'Recruiting Management': 'disabled', 'Scheduling': 'able', 'Study Planning': 'able'},{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",66,Not provided by vendor,inf,one-time/user,337.05
Gather,,$99.00/month,Scalable & customisable pricing,,,"Mobile-AndroidNative,Mobile-iOSNative","Documentation,Webinars,LiveOnline,InPerson","Online,BusinessHours","Event Management Features, Electronic Data Capture Features, Lead Capture Features, Lead Management Features","{},{'Audit Trail': 'able', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'},{'Business Card/Badge Scanning': 'able', 'Dashboard': 'able', 'Data Extraction': 'able', 'Data Verification': 'able', 'Form Builder': 'able', 'Gamification': 'disabled', 'Lead Distribution': 'disabled', 'Lead Enrichment': 'able', 'Lead Notifications': 'able', 'Lead Nurturing': 'able', 'Lead Scoring': 'disabled'},{}",67,month,99.0,month,99.0
GoResearch,,Not provided by vendor,,,,"Cloud,SaaS,Web","Documentation,LiveOnline,InPerson","BusinessHours,24/7(LiveRep)",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'disabled', 'Remote Capture': 'disabled', 'Study Management': 'able'}",68,Not provided by vendor,inf,year/user,12842.17
i-CDMS,,"$10,000.00/one-time",,,,"Cloud,SaaS,Web","Documentation,Webinars,LiveOnline,InPerson","Online,BusinessHours","Clinical Trial Management Features, Electronic Data Capture Features","{'21 CFR Part 11 Compliance': 'able', 'Document Management': 'able', 'Electronic Data Capture': 'able', 'Enrollment Management': 'able', 'HIPAA Compliant': 'able', 'Monitoring': 'able', 'Patient Database': 'able', 'Recruiting Management': 'able', 'Scheduling': 'able', 'Study Planning': 'able'},{}",69,one-time,10000.0,one-time,10000.0
idtPlans Review,,Not provided by vendor,,,,"Cloud,SaaS,Web","Documentation,Webinars,LiveOnline,InPerson","BusinessHours,24/7(LiveRep)","Inspection Features, Electronic Data Capture Features, Government Features, Public Works Features","{'Appointment Management': 'able', 'Customer Database': 'able', 'Dispatch Management': 'able', 'Equipment Tracking': 'disabled', 'Photos In Reports': 'able', 'Print on Site': 'disabled', 'Report Templates': 'able', 'Speech Recognition': 'able', 'Subcontractor Management ': 'disabled'},{},{},{}",70,Not provided by vendor,inf,year,290.25
Improve,,Not provided by vendor,,Yes,,"Cloud,SaaS,Web","Documentation,Webinars,LiveOnline,InPerson","Online,24/7(LiveRep)","Electronic Data Capture Features, Patient Portal Features","{},{'Appointment Confirmations': 'disabled', 'Appointment Scheduling': 'disabled', 'Bill Payment': 'disabled', 'Care Plans': 'able', 'Care Summaries': 'able', 'EHR-Agnostic': 'able', 'Health Record Access': 'disabled', 'Intake Forms': 'able', 'Lab Results': 'disabled', 'Prescription Renewals': 'disabled', 'Secure Messaging': 'disabled', 'Video Consultations': 'disabled'}",71,Not provided by vendor,inf,year,281.25
INKWRX,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'disabled', 'Data Verification': 'disabled', 'Distributed Capture': 'able', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",72,Not provided by vendor,inf,year/user,12327.47
Intelligent Data Capture,,,,,,,,,Electronic Data Capture Features,{},73,Not provided by vendor,inf,month,1082.78
iQapture,,$49.00/month/user,,,,"Cloud,SaaS,Web,Mobile-AndroidNative,Mobile-iOSNative","Documentation,Webinars,LiveOnline","Online,BusinessHours",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'}",74,month/user,49.0,month/user,49.0
ixtract,,"$25,000.00/one-time",,,,"Installed-Windows,Linux/Unix,Other",,"BusinessHours,24/7(LiveRep)","Document Management Features, Electronic Data Capture Features","{'Collaboration Tools': 'disabled', 'Compliance Tracking': 'disabled', 'Document Archiving': 'disabled', 'Document Assembly': 'disabled', 'Document Indexing': 'able', 'Document Retention': 'disabled', 'Electronic Signature': 'able', 'File Recovery': 'disabled', 'File Type Conversion': 'able', 'Offline Access': 'disabled', 'Optical Character Recognition': 'able', 'Version Control': 'disabled'},{}",75,one-time,25000.0,one-time,25000.0
KnowledgeLake Capture,,$1.00/one-time/user,,,,Installed-Windows,"Documentation,InPerson","Online,BusinessHours",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'disabled', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",76,one-time/user,1.0,one-time/user,1.0
Magpi,,$500.00/month,,Yes,,"Cloud,SaaS,Web,Mobile-AndroidNative,Mobile-iOSNative","Documentation,Webinars,LiveOnline,InPerson","Online,24/7(LiveRep)",Electronic Data Capture Features,{},77,month,500.0,month,500.0
MailThis.to,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'disabled', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",78,Not provided by vendor,inf,month,694.43
MATRIX EDC/IWRS,,Not provided by vendor,,,,"Cloud,SaaS,Web","Documentation,Webinars,LiveOnline,InPerson","Online,BusinessHours,24/7(LiveRep)","Clinical Trial Management Features, Electronic Data Capture Features","{'21 CFR Part 11 Compliance': 'able', 'Document Management': 'disabled', 'Electronic Data Capture': 'able', 'Enrollment Management': 'disabled', 'HIPAA Compliant': 'disabled', 'Monitoring': 'able', 'Patient Database': 'disabled', 'Recruiting Management': 'disabled', 'Scheduling': 'disabled', 'Study Planning': 'disabled'},{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",79,Not provided by vendor,inf,month/user,21.89
Med-Quest,,Not provided by vendor,,,,"Cloud,SaaS,Web","Documentation,Webinars,LiveOnline,InPerson","BusinessHours,24/7(LiveRep)",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'}",80,Not provided by vendor,inf,month/user,41.43
MedSciNet Builder,,$0.01,Please email info@medscinet.com for details.,Yes,,"Cloud,SaaS,Web","Documentation,Webinars,LiveOnline,InPerson","Online,24/7(LiveRep)",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",81,Not provided by vendor,0.01,one-time/user,0.01
MetricWire,,Not provided by vendor,Contact Metricwire for pricing details.,,,"Cloud,SaaS,Web",,BusinessHours,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'disabled', 'Data Verification': 'disabled', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",82,Not provided by vendor,inf,year/user,7487.55
MyoResearch XP Master,,Not provided by vendor,Contact Noraxon USA for pricing details.,,,"Cloud,SaaS,Web",,,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'disabled', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",83,Not provided by vendor,inf,month/user,50.49
Net Station,,Not provided by vendor,Contact Electrical Geodesics for pricing details.,,,Installed-Mac,,BusinessHours,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'disabled', 'Remote Capture': 'disabled', 'Study Management': 'able'}",84,Not provided by vendor,inf,one-time/user,405.46
OCR for AnyDoc,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'disabled', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",85,Not provided by vendor,inf,month,53.79
PaperLess,,"$3,000.00/one-time",,,,Installed-Windows,,BusinessHours,Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'}",86,one-time,3000.0,one-time,3000.0
PaperSurvey,,$20.00/month,,,,"Cloud,SaaS,Web",No,"Online,BusinessHours",Electronic Data Capture Features,{},87,month,20.0,month,20.0
PhysioQ,,$9.99/month/user,,Yes,,"Cloud,SaaS,Web,Mobile-AndroidNative,Mobile-iOSNative","Documentation,Webinars,LiveOnline",Online,"Clinical Trial Management Features, Electronic Data Capture Features","{},{}",88,month/user,9.99,month/user,9.99
Protocol First,,,,,,,,,"Clinical Trial Management Features, Electronic Data Capture Features","{},{}",89,Not provided by vendor,inf,one-time/user,702.81
